#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-05-15 12:41:13.483
#Start: 20 Hz
#Stop: 20000 Hz
#Steps: 300
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43979 V
#Offset: -0.000262887 V
#Relative: no
#Channel: Channel 2
#Range: 5.43753 V
#Offset: -8.04338e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
20.00000000000002,-0.002606070705130074,-33.81785702211154,-75.45421835355387
20.46743597265041,-0.003039530886577424,-33.4971010224652,-75.87884337679446
20.94579676472719,-0.003606329130092465,-33.37743036438188,-76.69155523995754
21.43533770891007,-0.001902478492544501,-33.1057782051241,-77.15941111737237
21.93632010546278,-0.003095008247465629,-32.87304823254387,-78.01910867283254
22.44901136170614,-0.002248319778112701,-32.66217747758758,-78.67815813652268
22.97368513475109,-0.002733646385287935,-32.4089361148945,-78.92603872778579
23.5106214775674,-0.003115348752118241,-32.20519191451243,-79.74588884813735
24.06010698846651,-0.002630293858071123,-31.97467807233025,-80.37702080017823
24.62243496407782,-0.002739578940946916,-31.75222508203098,-80.99244765262019
25.19790555590057,-0.002885959949927588,-31.54946217214713,-81.6914751763335
25.78682593051431,-0.002987169871316535,-31.36820181328911,-82.15325405192145
26.38951043353415,-0.002598843840651051,-31.11832491639219,-82.83316558304021
27.00628075739747,-0.002835378653316377,-30.91666892510433,-83.64689403123994
27.63746611307267,-0.002461557319183296,-30.71914466672415,-83.94856515299612
28.28340340578048,-0.002463533415039537,-30.51340762650777,-84.61461843632496
28.94443741482272,-0.002575644782769838,-30.30293237334922,-85.37165366225669
29.62092097761351,-0.00295023907209826,-30.09802190152754,-85.92771763722369
30.31321517801209,-0.002896505729871323,-29.87846332389199,-86.47147968700723
31.02168953905681,-0.002890660434189633,-29.65164864342011,-87.08582161730101
31.74672222020421,-0.002833265956638581,-29.45465567967521,-87.65416746457048
32.48870021917734,-0.003002990023911925,-29.22771579263184,-88.35960634331988
33.24801957853227,-0.002829710380489753,-29.00198082016314,-88.76281647037042
34.02508559705178,-0.0029809341856613,-28.81329064943456,-89.37726095856658
34.82031304608034,-0.002969011853259207,-28.60558156768445,-90.08928326513586
35.63412639091462,-0.002440782811135392,-28.40790796796119,-90.53279990629244
36.46696001736885,-0.002536678649635101,-28.18529034796437,-91.09281633508023
37.31925846363492,-0.002995098028349143,-27.98375423621277,-91.73469130554416
38.19147665756197,-0.003204442328937312,-27.76037593039272,-92.4271351461918
39.0840801594811,-0.002918232761394143,-27.56117894117704,-92.89954557380609
39.99754541070578,-0.002687568742228802,-27.32873853198613,-93.616234050461
40.93235998783984,-0.002912627587303216,-27.12633865948227,-94.10341397639739
41.88902286302946,-0.002748670008736554,-26.91488730493599,-94.81825204480288
42.86804467029718,-0.003089563892923626,-26.7147462818535,-95.34322805407746
43.86994797810124,-0.003521327293172824,-26.50426526441002,-95.98994885180196
44.89526756826452,-0.002662312092149242,-26.27458470116799,-96.67718206341526
45.94455072142312,-0.002782289074881446,-26.07346821125145,-97.33915870169761
47.01835750914579,-0.002552738794503198,-25.8634666995061,-97.9171752305752
48.11726109288139,-0.003053905744705624,-25.66622707278234,-98.53858908814072
49.24184802989256,-0.003612629117582269,-25.4368174559954,-99.1257902620922
50.39271858634038,-0.003691223318832823,-25.24121865507783,-99.79675975291653
51.57048705768553,-0.003446022692759243,-25.01235304487772,-100.4216736332488
52.77578209657875,-0.004111269386848655,-24.82218763757898,-101.0898186647015
54.0092470484137,-0.003297804798232511,-24.61811245309676,-101.7122109485417
