#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-05-15 12:43:02.559
#Start: 20 Hz
#Stop: 20000 Hz
#Steps: 300
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43979 V
#Offset: -0.000262887 V
#Relative: no
#Channel: Channel 2
#Range: 5.43753 V
#Offset: -8.04338e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
20.00000000000002,-0.00260477324015059,-43.95884145612773,-74.299338491093
20.46743597265041,-0.003276387584285059,-43.70699813291107,-74.98111551779743
20.94579676472719,-0.003042464940005225,-43.49375212266494,-75.43956537908767
21.43533770891007,-0.00290015797058464,-43.29166157057587,-75.97746576867382
21.93632010546278,-0.002951141947448487,-43.14320937720648,-76.71534744921144
22.44901136170614,-0.002900704517803395,-42.91114187823084,-77.71771890074979
22.97368513475109,-0.002491785947718732,-42.69948997378943,-78.34720888592523
23.5106214775674,-0.002943338338022859,-42.44593828576228,-78.98008649812051
24.06010698846651,-0.002984548288283235,-42.22521332964003,-79.48952725209909
24.62243496407782,-0.003040004621890224,-41.98167522060132,-80.19049904738715
25.19790555590057,-0.002756349492037575,-41.78289685215294,-80.73243642988612
25.78682593051431,-0.00280105631567025,-41.62027643920084,-81.25766342971241
26.38951043353415,-0.002705017066186657,-41.40628881619865,-81.952755036189
27.00628075739747,-0.002508810384382649,-41.15647473157533,-82.29776781142569
27.63746611307267,-0.003181240726862736,-40.9662821650109,-83.81279584197284
28.28340340578048,-0.002833757461546771,-40.74026460358483,-83.79559844706471
28.94443741482272,-0.002883685746980455,-40.55713851028253,-84.52346693290663
29.62092097761351,-0.003120538178398611,-40.39299889638279,-84.65314968249157
30.31321517801209,-0.002707061937127823,-40.1641459226283,-85.67868684760737
31.02168953905681,-0.003280613041655664,-39.92781758966331,-86.20392425247226
31.74672222020421,-0.002861396230688066,-39.7301811026413,-86.81687657583281
32.48870021917734,-0.002781093356727317,-39.49678825336383,-87.7533858261137
33.24801957853227,-0.003089868561509433,-39.23733987093851,-88.05357364495038
34.02508559705178,-0.00292374153162489,-39.10132421907078,-88.82543378045482
34.82031304608034,-0.002669698847258769,-38.87480661377718,-89.08373588478467
35.63412639091462,-0.002648099063727356,-38.67815393844136,-89.86668889083595
36.46696001736885,-0.002468645767065033,-38.49016977491611,-90.44139482246533
37.31925846363492,-0.0027995775769703,-38.23169642922917,-91.00668039350063
38.19147665756197,-0.00190212831587688,-38.00705114095656,-91.67869577791026
39.0840801594811,-0.002899022513804991,-37.86524902816433,-92.02873426432099
39.99754541070578,-0.002668066136804703,-37.66777044271878,-92.65981659158288
40.93235998783984,-0.00316420335886148,-37.41477576425137,-93.46830551914265
41.88902286302946,-0.002309583000190601,-37.25297846181887,-94.10809070212476
42.86804467029718,-0.002131192275704981,-37.04024797231429,-94.97610850472637
43.86994797810124,-0.003501661409277847,-36.82066550518463,-95.21010602655576
44.89526756826452,-0.002816681661041594,-36.60753821566649,-95.79873941261167
45.94455072142312,-0.002860376586417148,-36.38941518592733,-96.56688194008524
47.01835750914579,-0.003085821729675016,-36.21468350697222,-97.40593296332582
48.11726109288139,-0.003082011101995603,-35.99480074757098,-97.69739539431582
49.24184802989256,-0.001983117259173471,-35.7960713619416,-98.57085386018578
50.39271858634038,-0.002479762405882479,-35.59218879727356,-99.06486084316032
51.57048705768553,-0.002625252148017723,-35.41559777802718,-99.82230410044903
52.77578209657875,-0.002153590410272715,-35.20120184562413,-100.661978743218
54.0092470484137,-0.002489940843624074,-34.98822172765485,-101.297712619954
55.27154029472326,-0.002868205741098983,-34.81980710759212,-101.7114324795988
56.5633356046007,-0.002901487260454916,-34.57236021385476,-102.5073239138264
57.88532249433509,-0.003021037537007845,-34.35537789919182,-103.0800545230366
59.23820659545112,-0.002638356497532524,-34.14715234777984,-103.7701553499157
60.62271003135165,-0.00281834691985805,-33.96076398984181,-104.5184674092313
62.039571802762,-0.002580945436623646,-33.76465933303037,-105.3075125727132
