#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 10 Hz
#Stop: 50000 Hz
#Steps: 151
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 1e+06 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.43979 V
#Offset: -0.000262887 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.43753 V
#Offset: -8.04338e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
10,-0.01584512731345896,755826.7474310045
10.58424294923851,-0.04996633491966108,755458.0534262178
11.2026198808505,-0.02884099098575656,755223.4011889795
11.85712504868911,-0.03532071236948386,755268.1830117315
12.54986921948269,-0.02698711939649705,755478.9201418335
13.28308648001751,-0.04921881715657966,755437.158631746
14.05914144202507,-0.02950685213003084,755580.26839706
14.88053686801006,-0.03853723290884049,755613.3963554464
15.74992174261191,-0.04892908934349589,755650.6195326023
16.67009981552986,-0.05448669144956707,755659.9536198695
17.64403864356239,-0.05118908043905754,755544.8439443419
18.6748791609217,-0.03944260203859806,755546.8651117746
19.76594580868665,-0.04158570161680759,755651.8806128979
20.92075725606221,-0.05333312704856547,755411.3481079891
22.14303774802068,-0.05191091507492302,755481.2927719274
23.436729115921,-0.04765051649838049,755579.0393705823
24.80600348983997,-0.05118039250451946,755565.2075298314
26.25527675361243,-0.04802417695319752,755468.7378138865
27.78922278597281,-0.07506595273062099,755400.2828703756
29.41278853372508,-0.06487827019313605,755504.7407280054
31.13120996555226,-0.07960513632813852,755506.6756993398
32.95002895791605,-0.096100290223211,755631.7933049798
34.87511116750276,-0.08328105060016772,755534.7133477285
36.91266494785499,-0.0936715472650278,755446.6724256905
39.06926137119375,-0.09956507067400854,755592.6124890454
41.35185542000135,-0.1068330791801647,755564.0751505424
43.76780841670799,-0.09707105851873915,755373.2132914501
46.3249117638163,-0.1321443857178028,755743.5022489546
49.03141207102686,-0.1303027344837845,755503.2672195396
51.8960377503974,-0.1466882866236619,755210.9963149561
54.92802716530586,-0.1617700876543238,755320.7168226287
58.13715842399698,-0.1902297295358023,755336.5589721289
61.53378091379528,-0.1844994764024879,755402.5049405668
65.12884867768241,-0.1771716864495919,755770.3677352725
68.93395574087819,-0.1490317514547611,755465.9288042752
72.96137350135093,-0.1845041412008285,755650.2119857369
77.22409030484302,-0.2083306341781755,755557.6635416365
81.73585333203927,-0.1905030643818084,755686.0009767828
86.51121293296302,-0.2331063871545547,754929.2135613977
91.56556955157842,-0.2336882128822695,755362.7799783807
96.91522339193011,-0.2445949899661476,755298.2382524329
102.5774269859912,-0.2230854474731081,755736.248860053
108.5704408327505,-0.3248884686140729,755855.5852057941
114.9135922879754,-0.2839700243098709,755160.4845682301
121.6273378945674,-0.2880412919331907,755933.3225644322
128.7333293545225,-0.3146566069528043,755607.1940145219
136.2544833552602,-0.329546340644789,754748.078334276
144.2150554755048,-0.3537184048876469,755332.812357872
152.6407184090652,-0.3923362765675891,755505.4131840711
161.5586447587848,-0.4029354915090751,755789.4165365752
170.9975946676697,-0.4240415459353422,755506.413019576
180.9880085698029,-0.4442843747035765,755853.0305216715
191.5621053601653,-0.4635543860774793,755434.5724526602
202.7539862999612,-0.4879250324567512,755237.0810613512
214.5997449925365,-0.5573586082628568,755829.8796024811
227.1375837845639,-0.5584296764707716,755569.2858782965
240.4079369678839,-0.5702007002173823,755356.6042429401
254.4536011793301,-0.6406151957948454,755180.3887388855
269.3198734190672,-0.6755426857661383,754532.7476101666
285.0546971325567,-0.7049940184954223,755013.8154566162
301.7088168272581,-0.7565864722316793,755005.6802906854
319.3359417227003,-0.8160216011719031,755092.8068475486
337.9929189616926,-0.7976556667988021,754405.4104038702
357.7399169412834,-0.8857147240091006,755041.7121880928
378.6406193546952,-0.8956496938858562,754977.0338097337
400.7624305700231,-1.004355258163505,755780.8296170047
424.1766930080449,-1.09075045943922,754501.3457199173
448.9589172201711,-1.083754011826291,754506.0479228216
475.1890254085353,-1.21692872126804,754760.8715524947
502.9516091735803,-1.2340087870316,754845.6660206758
532.3362023203628,-1.347964728548228,754574.2804348074
