#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-05-09 13:01:44.758
#Start: 10 Hz
#Stop: 20000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43979 V
#Offset: -0.000262887 V
#Relative: no
#Channel: Channel 2
#Range: 5.43753 V
#Offset: -8.04338e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000001,-0.02092572882898692,-1.709032325308119,-144.9026682757645
10.51978506542568,-0.02056800118768218,-1.579440491586986,-146.9276712681405
11.06658778227529,-0.02079601665214396,-1.45968152950618,-148.915397527902
11.64181248772018,-0.02100155752661188,-1.348623348472373,-150.870419967507
12.24693651428048,-0.02065987074317694,-1.246203610728347,-152.7854462582573
12.88351398401441,-0.02096920714951141,-1.151406322180194,-154.6656269512704
13.55317979992375,-0.02118845604765828,-1.063882820903848,-156.5176586390667
14.25765384482666,-0.02095833908070404,-0.9835172212185073,-158.3374325209176
14.99874539848163,-0.02098055672615436,-0.9097555241386662,-160.1267416397332
15.77835778430691,-0.02096715072996563,-0.8415792595993308,-161.8902420380266
16.59849325762946,-0.02076380973597611,-0.779415396529557,-163.6283728535862
17.46125814801791,-0.02065895731242464,-0.722422519871826,-165.3432965315289
18.36886826890608,-0.0205425988107454,-0.6699660560811591,-167.0356804658311
19.32365460840097,-0.02059887981815463,-0.6220142577098008,-168.7109810737182
20.32806931589004,-0.02082003405475667,-0.5781291004091957,-170.37146114653
21.38469199982378,-0.02048951273202098,-0.5378755948522456,-172.0155292596206
22.4962363528474,-0.02087669264081536,-0.5012962192125936,-173.6515948562281
23.66555712129699,-0.02081528319740634,-0.4678799927774788,-175.2821590794599
24.89565743695981,-0.02059449863282459,-0.4376185908315919,-176.9061127640114
26.18969652992833,-0.02088466415075842,-0.4094281988395415,-178.5309192811001
27.55099784235702,-0.0209076360127105,-0.3839190941303273,179.8438693327961
28.98305756396022,-0.02098913874256077,-0.3607320564676159,178.2114934425042
30.48955361117215,-0.02084411133532509,-0.340242235721315,176.5689231544307
32.07435507303037,-0.02063638874048018,-0.3208767027562009,174.9132144582513
33.74153214804249,-0.02079528080910451,-0.3034524150680181,173.2423438766186
35.49536659755571,-0.02089377950789192,-0.2874802882035107,171.5494996970337
37.34036274247757,-0.02062236090714948,-0.2730693381331442,169.8314397500462
39.28125903158926,-0.02100425832696807,-0.2596133545958602,168.0858358414014
41.32304021116299,-0.01996174068098001,-0.2481699486336528,166.3073162623133
43.47095012713767,-0.01819195403997017,-0.2374972252464669,164.4916967737594
45.73050519273264,-0.01582887251979327,-0.2283776958181617,162.6359940379478
48.10750855608799,-0.01777959572184326,-0.2193285256600463,160.7260158883822
50.6080650043172,-0.02557040336932804,-0.208976785020402,158.762845418692
53.23859664225075,-0.02068132995805819,-0.2005674580970995,156.7740743183348
56.00585938613706,-0.02243394124794462,-0.1954278419770011,154.6818519932891
58.91696031466146,-0.01822492297821756,-0.1894795122664434,152.5588003167263
