#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-02-11 09:31:00.657
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 50 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-0.1023984375,-0.005889985787566402
-0.1023734375,-0.003897904769147959
-0.1023484375,-0.001905823750731327
-0.1023234375,8.625726768621039e-05
-0.1022984375,0.001414311279964569
-0.1022734375,0.002078338286103748
-0.1022484375,0.001746324783033705
-0.1022234375,0.0007502842738253896
-0.1021984375,-0.0002457562353833792
-0.1021734375,-0.0009097832415225584
-0.1021484375,-0.001241796744592148
-0.1021234375,-0.00157381024766204
-0.1020984375,-0.002237837253800917
-0.1020734375,-0.003233877763009685
-0.1020484375,-0.004893945278357634
-0.1020234375,-0.007550053302914351
-0.1019984375,-0.01053817483054171
-0.1019734375,-0.01286226935202778
-0.1019484375,-0.01452233686737573
-0.1019234375,-0.01419032336430614
-0.1018984375,-0.01286226935202778
-0.1018734375,-0.01053817483053975
-0.1018484375,-0.00854609381212312
-0.1018234375,-0.007218039799844761
-0.1017984375,-0.006886026296775171
-0.1017734375,-0.006886026296775171
-0.1017484375,-0.006886026296774869
-0.1017234375,-0.006221999290635992
-0.1016984375,-0.005225958781427223
-0.1016734375,-0.004561931775288044
-0.1016484375,-0.004229918272218454
-0.1016234375,-0.003897904769148563
-0.1015984375,-0.003233877763009685
-0.1015734375,-0.002237837253800917
-0.1015484375,-0.0009097832415225584
-0.1015234375,0.0004182707707558
-0.1014984375,0.001414311279964116
-0.1014734375,0.001414311279964569
-0.1014484375,0.0007502842738253896
-0.1014234375,-0.0009097832415225584
-0.1013984375,-0.002237837253800917
-0.1013734375,-0.003233877763009233
-0.1013484375,-0.003897904769148865
-0.1013234375,-0.003897904769148865
-0.1012984375,-0.003565891266079275
-0.1012734375,-0.002569850756870507
-0.1012484375,-0.0009097832415233132
-0.1012234375,0.001414311279964569
-0.1011984375,0.004070419304521285
-0.1011734375,0.007058540832147592
-0.1011484375,0.009714648856704309
-0.1011234375,0.01170672987512094
-0.1010984375,0.0133667973904698
-0.1010734375,0.01403082439660897
-0.1010484375,0.0133667973904698
-0.1010234375,0.01137471637205226
-0.1009984375,0.009050621850566187
-0.1009734375,0.006394513826008413
-0.1009484375,0.004402432807590876
-0.1009234375,0.003406392298382107
-0.1008984375,0.004070419304521285
-0.1008734375,0.005066459813729602
-0.1008484375,0.006062500322938823
-0.1008234375,0.006062500322938823
-0.1007984375,0.004734446310660465
-0.1007734375,0.002742365292242927
-0.1007484375,0.0004182707707568569
-0.1007234375,-0.002237837253800917
-0.1006984375,-0.003565891266079275
-0.1006734375,-0.004893945278357634
-0.1006484375,-0.005557972284496813
-0.1006234375,-0.005225958781427374
-0.1005984375,-0.004229918272218454
-0.1005734375,-0.002901864259940096
-0.1005484375,-0.0005777697384529688
-0.1005234375,0.001414311279964569
-0.1004984375,0.003074378795311762
-0.1004734375,0.004070419304521285
-0.1004484375,0.004402432807590876
-0.1004234375,0.003738405801451696
-0.1003984375,0.002742365292242927
-0.1003734375,0.001746324783034611
-0.1003484375,0.001414311279964569
-0.1003234375,0.001082297776894979
-0.1002984375,0.0007502842738253896
-0.1002734375,8.625726768621039e-05
-0.1002484375,-0.001241796744591544
-0.1002234375,-0.003565891266079275
-0.1001984375,-0.006554012793705582
-0.1001734375,-0.009874147824401477
-0.1001484375,-0.0121982423458886
-0.1001234375,-0.01286226935202778
-0.1000984375,-0.0121982423458886
-0.1000734375,-0.01020616132747107
-0.1000484375,-0.00821408030905353
-0.1000234375,-0.006886026296775171
-0.09999843750000001,-0.006221999290635992
-0.0999734375,-0.005889985787566402
-0.0999484375,-0.005889985787566402
-0.0999234375,-0.005557972284496813
-0.09989843750000001,-0.005225958781427223
-0.09987343750000001,-0.004893945278357634
-0.0998484375,-0.004229918272218454
-0.0998234375,-0.003897904769148865
-0.0997984375,-0.003565891266079275
-0.09977343750000001,-0.002901864259940096
-0.09974843750000001,-0.001573810247661738
-0.0997234375,-0.0005777697384525158
-0.0996984375,0.0004182707707558
-0.0996734375,0.001082297776894979
-0.09964843750000001,0.0004182707707558
-0.09962343750000001,-0.0009097832415225584
-0.0995984375,-0.002901864259940549
-0.0995734375,-0.003897904769148865
-0.0995484375,-0.005225958781427223
-0.09952343750000001,-0.005557972284496813
-0.09949843750000001,-0.005557972284496813
-0.0994734375,-0.00489394527835703
-0.0994484375,-0.003565891266079275
-0.0994234375,-0.001573810247661738
