Freq.	V(out)
1.00000000000000e+01	(7.85401987624744e+00dB,-2.92475198910059e-02°)
1.02329299228075e+01	(7.85401982342995e+00dB,-2.99287854616211e-02°)
1.04712854805090e+01	(7.85401976791856e+00dB,-3.06259117331307e-02°)
1.07151930523761e+01	(7.85401971000533e+00dB,-3.13392786960214e-02°)
1.09647819614319e+01	(7.85401964915805e+00dB,-3.20692695079663e-02°)
1.12201845430196e+01	(7.85401958586215e+00dB,-3.28162558410404e-02°)
1.14815362149688e+01	(7.85401951936887e+00dB,-3.35806439931633e-02°)
1.17489755493953e+01	(7.85401944994655e+00dB,-3.43628386413321e-02°)
1.20226443461741e+01	(7.85401937683344e+00dB,-3.51632525069809e-02°)
1.23026877081238e+01	(7.85401930048894e+00dB,-3.59823092751867e-02°)
1.25892541179417e+01	(7.85401922054645e+00dB,-3.68204438186293e-02°)
1.28824955169313e+01	(7.85401913663169e+00dB,-3.76780997262908e-02°)
1.31825673855641e+01	(7.85401904897649e+00dB,-3.85557376391847e-02°)
1.34896288259165e+01	(7.85401895719022e+00dB,-3.94538138869356e-02°)
1.38038426460288e+01	(7.85401886128289e+00dB,-4.03728117881413e-02°)
1.41253754462275e+01	(7.85401876064126e+00dB,-4.13132135472004e-02°)
1.44543977074593e+01	(7.85401865525654e+00dB,-4.22755261653938e-02°)
1.47910838816821e+01	(7.85401854449581e+00dB,-4.32602452482898e-02°)
1.51356124843621e+01	(7.85401842955783e+00dB,-4.42679065829234e-02°)
1.54881661891248e+01	(7.85401830835530e+00dB,-4.52990378057939e-02°)
1.58489319246111e+01	(7.85401818165501e+00dB,-4.63541883892599e-02°)
1.62181009735893e+01	(7.85401804898352e+00dB,-4.74339164279870e-02°)
1.65958690743756e+01	(7.85401790985473e+00dB,-4.85387929847326e-02°)
1.69824365246174e+01	(7.85401776417866e+00dB,-4.96694050928114e-02°)
1.73780082874937e+01	(7.85401761205612e+00dB,-5.08263533647674e-02°)
1.77827941003892e+01	(7.85401745265227e+00dB,-5.20102509584824e-02°)
1.81970085860998e+01	(7.85401728552644e+00dB,-5.32217239007949e-02°)
1.86208713666287e+01	(7.85401711093843e+00dB,-5.44614208701612e-02°)
1.90546071796325e+01	(7.85401692759616e+00dB,-5.57299865314033e-02°)
1.94984459975804e+01	(7.85401673592991e+00dB,-5.70281050891703e-02°)
1.99526231496888e+01	(7.85401653491887e+00dB,-5.83564587863620e-02°)
2.04173794466953e+01	(7.85401632464881e+00dB,-5.97157539212040e-02°)
2.08929613085404e+01	(7.85401610446904e+00dB,-6.11067104172145e-02°)
2.13796208950223e+01	(7.85401587391253e+00dB,-6.25300689544832e-02°)
2.18776162394955e+01	(7.85401563259259e+00dB,-6.39865792068810e-02°)
2.23872113856834e+01	(7.85401537969008e+00dB,-6.54770177929948e-02°)
2.29086765276777e+01	(7.85401511487349e+00dB,-6.70021711307904e-02°)
2.34422881531992e+01	(7.85401483768367e+00dB,-6.85628507068893e-02°)
2.39883291901949e+01	(7.85401454743031e+00dB,-7.01598827015242e-02°)
2.45470891568503e+01	(7.85401424339540e+00dB,-7.17941138259519e-02°)
2.51188643150958e+01	(7.85401392524131e+00dB,-7.34664131193921e-02°)
2.57039578276886e+01	(7.85401359188359e+00dB,-7.51776629547395e-02°)
2.63026799189538e+01	(7.85401324307591e+00dB,-7.69287757088273e-02°)
2.69153480392691e+01	(7.85401287756637e+00dB,-7.87206739880193e-02°)
2.75422870333816e+01	(7.85401249493810e+00dB,-8.05543113711343e-02°)
2.81838293126445e+01	(7.85401209417480e+00dB,-8.24306607588444e-02°)
