Freq.	V(out)
1.00000000000000e+01	(-7.85394862590933e+00dB,-2.57674154547904e-02°)
1.02329299228075e+01	(-7.85394866712226e+00dB,-2.63676155808534e-02°)
1.04712854805090e+01	(-7.85394871027749e+00dB,-2.69817961578679e-02°)
1.07151930523761e+01	(-7.85394875546655e+00dB,-2.76102828319442e-02°)
1.09647819614319e+01	(-7.85394880278532e+00dB,-2.82534088344346e-02°)
1.12201845430196e+01	(-7.85394885233415e+00dB,-2.89115151586142e-02°)
1.14815362149688e+01	(-7.85394890421815e+00dB,-2.95849507404768e-02°)
1.17489755493953e+01	(-7.85394895854736e+00dB,-3.02740726437421e-02°)
1.20226443461741e+01	(-7.85394901543703e+00dB,-3.09792462491721e-02°)
1.23026877081238e+01	(-7.85394907500782e+00dB,-3.17008454482971e-02°)
1.25892541179417e+01	(-7.85394913738610e+00dB,-3.24392528416541e-02°)
1.28824955169313e+01	(-7.85394920270418e+00dB,-3.31948599416416e-02°)
1.31825673855641e+01	(-7.85394927110060e+00dB,-3.39680673801010e-02°)
1.34896288259165e+01	(-7.85394934272044e+00dB,-3.47592851207309e-02°)
1.38038426460288e+01	(-7.85394941771562e+00dB,-3.55689326764508e-02°)
1.41253754462275e+01	(-7.85394949624521e+00dB,-3.63974393318261e-02°)
1.44543977074593e+01	(-7.85394957847579e+00dB,-3.72452443706746e-02°)
1.47910838816821e+01	(-7.85394966458177e+00dB,-3.81127973089740e-02°)
1.51356124843621e+01	(-7.85394975474581e+00dB,-3.90005581331940e-02°)
1.54881661891248e+01	(-7.85394984915914e+00dB,-3.99089975441799e-02°)
1.58489319246111e+01	(-7.85394994802203e+00dB,-4.08385972067161e-02°)
1.62181009735893e+01	(-7.85395005154418e+00dB,-4.17898500049027e-02°)
1.65958690743756e+01	(-7.85395015994518e+00dB,-4.27632603034797e-02°)
1.69824365246174e+01	(-7.85395027345496e+00dB,-4.37593442152380e-02°)
1.73780082874937e+01	(-7.85395039231428e+00dB,-4.47786298746587e-02°)
1.77827941003892e+01	(-7.85395051677527e+00dB,-4.58216577179252e-02°)
1.81970085860998e+01	(-7.85395064710192e+00dB,-4.68889807694577e-02°)
1.86208713666287e+01	(-7.85395078357068e+00dB,-4.79811649351209e-02°)
1.90546071796325e+01	(-7.85395092647100e+00dB,-4.90987893022605e-02°)
1.94984459975804e+01	(-7.85395107610600e+00dB,-5.02424464467283e-02°)
1.99526231496888e+01	(-7.85395123279308e+00dB,-5.14127427470572e-02°)
2.04173794466953e+01	(-7.85395139686458e+00dB,-5.26102987059541e-02°)
2.08929613085404e+01	(-7.85395156866853e+00dB,-5.38357492792801e-02°)
2.13796208950223e+01	(-7.85395174856935e+00dB,-5.50897442126925e-02°)
2.18776162394955e+01	(-7.85395193694862e+00dB,-5.63729483861274e-02°)
2.23872113856834e+01	(-7.85395213420592e+00dB,-5.76860421663050e-02°)
2.29086765276777e+01	(-7.85395234075967e+00dB,-5.90297217674447e-02°)
2.34422881531992e+01	(-7.85395255704798e+00dB,-6.04046996203805e-02°)
2.39883291901949e+01	(-7.85395278352964e+00dB,-6.18117047502740e-02°)
2.45470891568503e+01	(-7.85395302068503e+00dB,-6.32514831631224e-02°)
2.51188643150958e+01	(-7.85395326901719e+00dB,-6.47247982412688e-02°)
2.57039578276886e+01	(-7.85395352905288e+00dB,-6.62324311481232e-02°)
2.63026799189538e+01	(-7.85395380134366e+00dB,-6.77751812423088e-02°)
2.69153480392691e+01	(-7.85395408646709e+00dB,-6.93538665014524e-02°)
2.75422870333816e+01	(-7.85395438502794e+00dB,-7.09693239558451e-02°)
2.81838293126445e+01	(-7.85395469765952e+00dB,-7.26224101322011e-02°)
2.88403150312660e+01	(-7.85395502502494e+00dB,-7.43140015077506e-02°)
2.95120922666638e+01	(-7.85395536781860e+00dB,-7.60449949749078e-02°)
3.01995172040201e+01	(-7.85395572676759e+00dB,-7.78163083167586e-02°)
3.09029543251359e+01	(-7.85395610263330e+00dB,-7.96288806936220e-02°)
3.16227766016838e+01	(-7.85395649621298e+00dB,-8.14836731409405e-02°)
3.23593656929628e+01	(-7.85395690834146e+00dB,-8.33816690787655e-02°)
3.31131121482591e+01	(-7.85395733989291e+00dB,-8.53238748331054e-02°)
3.38844156139202e+01	(-7.85395779178271e+00dB,-8.73113201694142e-02°)
3.46736850452531e+01	(-7.85395826496937e+00dB,-8.93450588385017e-02°)
3.54813389233575e+01	(-7.85395876045658e+00dB,-9.14261691351561e-02°)
3.63078054770101e+01	(-7.85395927929531e+00dB,-9.35557544697719e-02°)
3.71535229097172e+01	(-7.85395982258610e+00dB,-9.57349439532895e-02°)
3.80189396320561e+01	(-7.85396039148132e+00dB,-9.79648929957522e-02°)
3.89045144994280e+01	(-7.85396098718766e+00dB,-1.00246783918801e-01°)
3.98107170553497e+01	(-7.85396161096870e+00dB,-1.02581826582428e-01°)
4.07380277804112e+01	(-7.85396226414752e+00dB,-1.04971259026325e-01°)
4.16869383470335e+01	(-7.85396294810962e+00dB,-1.07416348126158e-01°)
4.26579518801592e+01	(-7.85396366430574e+00dB,-1.09918390265127e-01°)
4.36515832240165e+01	(-7.85396441425502e+00dB,-1.12478712021153e-01°)
4.46683592150962e+01	(-7.85396519954818e+00dB,-1.15098670870070e-01°)
4.57088189614874e+01	(-7.85396602185092e+00dB,-1.17779655905180e-01°)
4.67735141287197e+01	(-7.85396688290742e+00dB,-1.20523088573561e-01°)
4.78630092322638e+01	(-7.85396778454408e+00dB,-1.23330423429516e-01°)
4.89778819368445e+01	(-7.85396872867336e+00dB,-1.26203148905556e-01°)
5.01187233627271e+01	(-7.85396971729787e+00dB,-1.29142788101330e-01°)
5.12861383991364e+01	(-7.85397075251458e+00dB,-1.32150899590924e-01°)
5.24807460249772e+01	(-7.85397183651928e+00dB,-1.35229078248936e-01°)
5.37031796370252e+01	(-7.85397297161126e+00dB,-1.38378956095793e-01°)
5.49540873857623e+01	(-7.85397416019816e+00dB,-1.41602203162725e-01°)
5.62341325190348e+01	(-7.85397540480108e+00dB,-1.44900528376883e-01°)
5.75439937337156e+01	(-7.85397670805995e+00dB,-1.48275680467042e-01°)
5.88843655355588e+01	(-7.85397807273910e+00dB,-1.51729448890389e-01°)
6.02559586074357e+01	(-7.85397950173314e+00dB,-1.55263664780871e-01°)
6.16595001861481e+01	(-7.85398099807309e+00dB,-1.58880201919612e-01°)
6.30957344480192e+01	(-7.85398256493281e+00dB,-1.62580977727902e-01°)
6.45654229034654e+01	(-7.85398420563575e+00dB,-1.66367954283295e-01°)
6.60693448007595e+01	(-7.85398592366198e+00dB,-1.70243139359345e-01°)
6.76082975391980e+01	(-7.85398772265555e+00dB,-1.74208587489520e-01°)
6.91830970918935e+01	(-7.85398960643229e+00dB,-1.78266401055875e-01°)
7.07945784384136e+01	(-7.85399157898781e+00dB,-1.82418731403041e-01°)
7.24435960074988e+01	(-7.85399364450605e+00dB,-1.86667779978122e-01°)
