#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-05-15 13:24:26.780
#Start: 20 Hz
#Stop: 20000 Hz
#Steps: 300
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43979 V
#Offset: -0.000262887 V
#Relative: no
#Channel: Channel 2
#Range: 5.43753 V
#Offset: -8.04338e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
20.00000000000002,-0.002042623517787301,-47.40623696801718,-73.20375888775165
20.46743597265041,-0.002248358753851553,-47.21631447543326,-74.37772106205483
20.94579676472719,-0.00213025862388923,-46.97661012188655,-74.70447347048096
21.43533770891007,-0.002504496363533803,-46.86429605525518,-75.7283402219843
21.93632010546278,-0.001735498983048312,-46.59468160241492,-76.26899159414404
22.44901136170614,-0.002356802568473953,-46.2793684736474,-76.96943014632073
22.97368513475109,-0.003005539033805813,-46.05877284311038,-77.13658575475262
23.5106214775674,-0.001914724929963128,-45.98325202829781,-78.45373062875552
24.06010698846651,-0.002023549517393238,-45.75971005999244,-79.28670995746234
24.62243496407782,-0.002018149553213012,-45.4338304198584,-80.15157988088953
25.19790555590057,-0.001909304120802602,-45.24933697002137,-79.99507218690491
25.78682593051431,-0.001578765252230723,-45.12551942196529,-80.55324710788221
26.38951043353415,-0.0019805370438239,-44.80358885406233,-81.19285721942737
27.00628075739747,-0.002612801182090247,-44.66776255537003,-82.11186803632188
27.63746611307267,-0.002310389011404778,-44.31262904115193,-82.77233534333527
28.28340340578048,-0.002217802744296348,-44.16544700375202,-83.09298578758181
28.94443741482272,-0.001982585492358939,-44.0088551333249,-83.81362266022744
29.62092097761351,-0.002557026013990632,-43.73224810512185,-84.56925516820795
30.31321517801209,-0.00237196162877388,-43.59359396899698,-85.3416088527991
31.02168953905681,-0.002193958672547008,-43.30146182940269,-86.02821112544474
31.74672222020421,-0.002282334382290759,-43.18766791462615,-85.9896225234767
32.48870021917734,-0.002312497063518146,-42.9073705897913,-86.80945023535322
33.24801957853227,-0.00198162378661346,-42.76534053669545,-87.61229605148544
34.02508559705178,-0.002543548614666682,-42.52722488604648,-88.73475725705885
34.82031304608034,-0.002053393151719915,-42.32191150749688,-88.97485819494599
35.63412639091462,-0.002464417659340263,-42.14194830308823,-89.62104757188173
36.46696001736885,-0.002474586813277834,-41.94389960747768,-89.79911806261087
37.31925846363492,-0.002881401158804416,-41.70561397686029,-90.93565652465074
38.19147665756197,-0.001976728317368586,-41.49913418959158,-91.33120916985274
39.0840801594811,-0.002717232001912461,-41.37008015395027,-92.26727670760853
39.99754541070578,-0.00234420706548815,-41.14147097377544,-92.55807993534185
40.93235998783984,-0.002200102798375275,-40.91365931322876,-93.60212850031508
41.88902286302946,-0.002276140007555461,-40.69780540698461,-93.98659316446677
42.86804467029718,-0.002277570445672435,-40.52600836069311,-94.41670635046162
43.86994797810124,-0.001673378130610863,-40.27646804468829,-95.31686374199427
44.89526756826452,-0.001950172198399294,-40.06245787727841,-95.54825759531877
45.94455072142312,-0.0025416132826687,-39.80092520879376,-96.33063381046075
47.01835750914579,-0.003350891253446992,-39.64850319435867,-96.71280764313894
48.11726109288139,-0.002356129693488392,-39.44809305369903,-97.19076960984357
49.24184802989256,-0.002097391695073047,-39.2777789392322,-98.39339143888883
50.39271858634038,-0.001966116441069236,-39.05515117823867,-99.18784699420101
51.57048705768553,-0.001906521960904003,-38.93385865494213,-99.4237957810812
52.77578209657875,-0.002032796038456263,-38.6620873317672,-100.4365951575725
54.0092470484137,-0.002051561425603996,-38.46866421940695,-101.0712943486816
55.27154029472326,-0.002869027319565769,-38.24481201125042,-101.1201747475835
56.5633356046007,-0.00283288370646958,-38.10304252235979,-102.1533807392829
57.88532249433509,-0.002498473433740342,-37.8664325414322,-102.9093799917348
59.23820659545112,-0.002257300904342537,-37.63839831102227,-103.6893604587245
60.62271003135165,-0.00194754663443701,-37.42544036503539,-104.4298939192204
62.039571802762,-0.002463713853247003,-37.27367033410111,-104.9739300344954
63.48954818218394,-0.002756343528335464,-37.02060181527919,-105.62447745855
64.97341311756756,-0.002422744790062669,-36.79695575581962,-106.3963694364996
66.4919586454189,-0.002507086436181333,-36.60891028879206,-107.2185296743535
68.04599531356143,-0.00268064512841162,-36.41817114497121,-107.9935308621628
69.63635261377941,-0.00231104950862026,-36.21803652151993,-108.6024824800556
71.26387942457175,-0.002105291207418919,-36.02299837473895,-109.2303896601902
72.92944446425506,-0.003221959188314433,-35.82033963916747,-110.2925235895381
74.63393675465511,-0.002089030211557141,-35.62954151626511,-110.6948046061918
76.37826609563716,-0.002173477102694533,-35.37838997207842,-111.998142184733
78.16336355072536,-0.001809059809668684,-35.22768432250218,-112.4337537635739
79.9901819440734,-0.002160112609797443,-34.99999644159662,-113.5827813309329
81.85969636904885,-0.003209415327392451,-34.75955547335101,-114.2104836139307
83.7729047087055,-0.002668102493643785,-34.65691781145792,-115.6397906347306
85.7308281684186,-0.002925517734265335,-34.27276459919366,-116.9373924956376
87.73451182097006,-0.002408691262450834,-34.36398558433148,-118.6457393282961
