#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-05-15 13:19:50.869
#Start: 20 Hz
#Stop: 20000 Hz
#Steps: 300
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43979 V
#Offset: -0.000262887 V
#Relative: no
#Channel: Channel 2
#Range: 5.43753 V
#Offset: -8.04338e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
20.00000000000002,-0.002469377033728974,-31.25956936778561,-75.51747958908197
20.46743597265041,-0.002325762768921659,-31.02769130426422,-76.22422274701017
20.94579676472719,-0.001496266861678371,-30.81024770836612,-76.89631170283496
21.43533770891007,-0.002384327788895892,-30.59080102679801,-77.43165068083454
21.93632010546278,-0.00190130633840644,-30.35394320013093,-78.11299748502273
22.44901136170614,-0.002474926023024004,-30.1258208382947,-78.65403549045767
22.97368513475109,-0.001932772457330502,-29.90383569767712,-79.38892306678588
23.5106214775674,-0.002099642866342702,-29.70509544425927,-80.08831658333732
24.06010698846651,-0.001938158214389073,-29.50623410850282,-80.70919251069398
24.62243496407782,-0.001861092359159939,-29.28850965297279,-81.20809139211205
25.19790555590057,-0.001843912046089924,-29.05988897510366,-81.81195845497058
25.78682593051431,-0.001737374123335824,-28.84331428626348,-82.46100570354727
26.38951043353415,-0.002119261545446833,-28.64723060975174,-83.04013291909999
27.00628075739747,-0.002297922184012488,-28.42985321976967,-83.66040191553915
27.63746611307267,-0.002854056535767704,-28.21020084282219,-84.34693541089734
28.28340340578048,-0.002207794825707345,-27.98601138985558,-84.80936998101272
28.94443741482272,-0.001709060579662584,-27.77821642825126,-85.49068955225783
29.62092097761351,-0.00159547064398983,-27.58838454080724,-86.20046712783517
30.31321517801209,-0.002345040175125354,-27.34193966792335,-86.68461853800551
31.02168953905681,-0.002362830794152784,-27.13548954958689,-87.38178991189727
31.74672222020421,-0.002354814317456501,-26.94706575412737,-87.72902569511042
32.48870021917734,-0.001520479620647363,-26.75250680466933,-88.45494384553704
33.24801957853227,-0.002274747886126082,-26.52020045901008,-89.05989983751061
34.02508559705178,-0.002536263702339297,-26.31906954227803,-89.6050940219768
34.82031304608034,-0.002053627249739765,-26.10102122852415,-90.29351595176665
35.63412639091462,-0.002637570279992283,-25.89306243818996,-90.74158456223094
36.46696001736885,-0.00220010067707749,-25.65757751724403,-91.36653325667861
37.31925846363492,-0.002466109724280083,-25.44717024941761,-91.9923664350103
38.19147665756197,-0.002445067449531159,-25.25204628529514,-92.53806708477592
39.0840801594811,-0.001680231255945517,-25.05215328929949,-93.17481666926832
39.99754541070578,-0.001990897964520513,-24.82022603256667,-93.77758363252686
40.93235998783984,-0.002011961436229654,-24.63911956725882,-94.43773505908065
41.88902286302946,-0.001815208676404074,-24.4224129152893,-95.00041564622393
42.86804467029718,-0.001880824885335337,-24.20222105153231,-95.61535524580704
43.86994797810124,-0.002438570512566177,-23.98554141682261,-96.24834562807352
44.89526756826452,-0.002091484071642238,-23.77345329187979,-96.83958470008498
45.94455072142312,-0.001986650704892085,-23.56984746342059,-97.54723474192892
47.01835750914579,-0.002907922383648951,-23.34475306673382,-98.1434194103054
48.11726109288139,-0.00274831906608868,-23.14661261120773,-98.80826436324242
49.24184802989256,-0.002048861384008108,-22.93808241070731,-99.45747193750006
50.39271858634038,-0.001692500930082274,-22.70799780170467,-100.1326644880321
51.57048705768553,-0.002008116842113643,-22.50797951043328,-100.6971970483548
52.77578209657875,-0.001414442678403477,-22.2857091691777,-101.4084266614696
54.0092470484137,-0.001758639874688722,-22.07745597691353,-102.0540547476133
55.27154029472326,-0.002559516232210295,-21.85858271761029,-102.7767296943845
56.5633356046007,-0.00267786335352703,-21.63040475177359,-103.4397570810472
57.88532249433509,-0.002630589884100761,-21.42200231954018,-104.1156302378707
59.23820659545112,-0.001892716402962765,-21.21063570696425,-104.8257214042934
60.62271003135165,-0.002477447684731316,-20.9989548779452,-105.5614321125458
62.039571802762,-0.002688783663547395,-20.79005498297549,-106.2535075179135
63.48954818218394,-0.002136401737426525,-20.56467577255482,-106.9909548085537
64.97341311756756,-0.002158471080023568,-20.36335995130781,-107.7119736638113
66.4919586454189,-0.001942786438823278,-20.13643797740412,-108.4682261417971
68.04599531356143,-0.002087899376428606,-19.92323977733725,-109.2013557394692
69.63635261377941,-0.001754489402483958,-19.69599532618778,-110.0008343595404
71.26387942457175,-0.0022325858729462,-19.47391431242812,-110.7865708423355
72.92944446425506,-0.002084459414284901,-19.26134442429305,-111.5839939069309
74.63393675465511,-0.002137870949099851,-19.0315556540441,-112.3355866621083
76.37826609563716,-0.002931524935590765,-18.80863482598187,-113.1641850127776
78.16336355072536,-0.001919843984574719,-18.59271156760773,-113.9702222253521
79.9901819440734,-0.002011715112834872,-18.37334771785498,-114.8148519833799
81.85969636904885,-0.002369554520293855,-18.14333623330078,-115.6835597043741
83.7729047087055,-0.001693433503035579,-17.93373390679842,-116.6404567556064
85.7308281684186,-0.002664428384683104,-17.66893120203239,-117.5156797731599
87.73451182097006,-0.001564708607044753,-17.50686550970087,-118.5337379940595
89.78502516437216,-0.002978139097375247,-17.19451398032294,-119.6505937943533
91.88346269272962,-0.002098767472930699,-17.05392480804679,-120.5719925028715
94.03094448044268,-0.001826494963657738,-16.6857087021038,-121.2050922425732
96.22861678006529,-0.002002772514358541,-16.45739996742405,-122.2808356922547
98.47765263413494,-0.00275624721742107,-16.37714092808489,-122.879905990657
100.7792525013031,-0.003048213389386678,-16.14716100963951,-124.1091466338089
103.1346448970995,-0.002409155669296752,-15.7929590579047,-124.6091050233409
105.5450870496709,-0.002711347369803252,-15.65490910095119,-125.92997400075
108.0118655708476,-0.00224099370001104,-15.35449182589838,-126.6890960902886
110.5362971428922,-0.002031952234067652,-15.11880987823483,-128.6076681972391
113.1197292213003,-0.002169760002800628,-14.84527077832329,-129.6865629353867
115.7635407540256,-0.001772737481141407,-14.64197190854069,-130.4817444294586
118.4691429175163,-0.002732706722053549,-14.35190434800684,-131.7883465224292
121.2379798699516,-0.002359911089775953,-14.10455205774415,-132.8535206333847
124.0715295220856,-0.001778158333458175,-13.84189681516239,-133.8898299218443
126.9713043261045,-0.002043713801727545,-13.58296264831569,-135.1498362800052
129.9388520829226,-0.002922857564310493,-13.31929510299569,-136.4032958876933
132.9757567683454,-0.002640926359213899,-13.05557107423332,-137.7003922605676
136.0836393785422,-0.0017818327642921,-12.78143080269892,-138.976636312626
139.2641587952778,-0.002066186003374801,-12.50932489124735,-140.3204506490416
142.5190126713684,-0.002507667047518891,-12.22834912186597,-141.6763779067651
145.849938336829,-0.001922464597430971,-11.94676058691433,-143.0623294471071
149.2587137262029,-0.0019807313897842,-11.65948654175549,-144.4934816850397
152.7471583275606,-0.002594373986344596,-11.36507437167839,-145.922304029606
156.317134153682,-0.001683567523058149,-11.07074627237641,-147.420929350356
159.9705467359343,-0.002279076410909568,-10.76669486972213,-148.9434979625757
163.7093461413807,-0.001981412682842921,-10.45747981401468,-150.4666463320978
167.5355280136585,-0.002420271244767716,-10.14622517945856,-152.0986776701108
171.4511346381867,-0.002540817922368776,-9.810389710441427,-153.7144928825219
175.4582560322673,-0.002238457651289431,-9.478572169612438,-155.4407343478433
179.5590310606667,-0.002416656750485265,-9.16711317954824,-157.1573290103238
183.7556485772668,-0.001408285798177423,-8.819884435068326,-158.9402794572934
188.0503485934028,-0.001730945052665253,-8.422804597854508,-160.6367627949735
192.4454234735029,-0.001966427117205942,-8.056553672402696,-162.5078308490494
