#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-05-15 13:22:07.858
#Start: 20 Hz
#Stop: 20000 Hz
#Steps: 300
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43979 V
#Offset: -0.000262887 V
#Relative: no
#Channel: Channel 2
#Range: 5.43753 V
#Offset: -8.04338e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
20.00000000000002,-0.001382439483544046,-42.58644107601881,-74.35831285710873
20.46743597265041,-0.002169427620257858,-42.40981021417209,-74.96245869956159
20.94579676472719,-0.002295983684950521,-42.19252322757097,-75.53762135024861
21.43533770891007,-0.001777682858369389,-41.99211396282927,-76.43345786983417
21.93632010546278,-0.002254823012268629,-41.77764706220844,-76.98763997328132
22.44901136170614,-0.002029898331889641,-41.55760590705654,-77.04023967865294
22.97368513475109,-0.002058363033860989,-41.33858071083534,-78.29965655555617
23.5106214775674,-0.002052024014468732,-41.09609735736279,-78.84438280631792
24.06010698846651,-0.00207719261067793,-40.93427745626498,-79.80295050343383
24.62243496407782,-0.001568697771193309,-40.72087376108848,-80.13112675252323
25.19790555590057,-0.002309813618647826,-40.50519921056335,-80.78324809580158
25.78682593051431,-0.001809712891257783,-40.29628634513878,-81.60637374343193
26.38951043353415,-0.001205181406949063,-40.07295817055077,-82.04613367479089
27.00628075739747,-0.002204103925839359,-39.84542048714968,-82.75426388383121
27.63746611307267,-0.002049312329221842,-39.66308181243832,-83.29247865827337
28.28340340578048,-0.001801812356579853,-39.43193824000888,-83.89390972502039
28.94443741482272,-0.001770817562368585,-39.24941750415483,-84.74030694551152
29.62092097761351,-0.001886291634984445,-39.05538414360591,-85.24973733556476
30.31321517801209,-0.001824206020194176,-38.82765250559264,-85.72303135259581
31.02168953905681,-0.001946856651471892,-38.5971610251454,-86.15384811241049
31.74672222020421,-0.002501581782644494,-38.43547012477352,-87.03773771965331
32.48870021917734,-0.00166376965084907,-38.2259442797945,-87.41020447373353
33.24801957853227,-0.002676594931256474,-37.9622585622585,-88.3067223539706
34.02508559705178,-0.002410842468741664,-37.76121253280845,-89.1002681685414
34.82031304608034,-0.002057234363716095,-37.52433715967856,-89.35483303789192
35.63412639091462,-0.002041915496325546,-37.31318637679862,-90.05141908962962
36.46696001736885,-0.002313736261777549,-37.15853757443572,-90.70331210899316
37.31925846363492,-0.002371655622081471,-36.93705485189122,-91.37893812221708
38.19147665756197,-0.002687685028491564,-36.71269193553059,-91.83083613528743
39.0840801594811,-0.002534928863762865,-36.53951373353421,-92.47662444733754
39.99754541070578,-0.00231365640066096,-36.31727059306755,-93.02781851920446
40.93235998783984,-0.002599666119182679,-36.1397537131642,-93.62147668948104
41.88902286302946,-0.002584221799998284,-35.92705089425149,-94.066611859017
42.86804467029718,-0.002123166895251575,-35.71260327167077,-94.95349386717297
43.86994797810124,-0.002334981635050472,-35.50835545436341,-95.41509691929807
44.89526756826452,-0.002672014482156836,-35.2768933089342,-96.11124636805086
45.94455072142312,-0.002329276781526883,-35.07937564176126,-96.71640413872616
47.01835750914579,-0.002869834015021061,-34.88594332951061,-97.24198491677845
48.11726109288139,-0.002640043734706767,-34.70159330985687,-98.04440844434635
49.24184802989256,-0.002025841132669917,-34.50637260914041,-98.62210191747729
50.39271858634038,-0.00212794409509507,-34.2901369660721,-99.19507528950348
51.57048705768553,-0.003062107818257381,-34.07277198044062,-99.8098812416695
52.77578209657875,-0.002106651900013249,-33.90336525007849,-100.7613045856375
54.0092470484137,-0.002757755948225798,-33.67624555196956,-101.3212804213643
55.27154029472326,-0.002897935818837217,-33.43359934686694,-101.7769700989112
56.5633356046007,-0.002988057487620427,-33.28258647234406,-102.278892550816
57.88532249433509,-0.002421215594922471,-33.04521124328939,-103.2521934611561
59.23820659545112,-0.002809828774971509,-32.84473937783771,-103.9190594474829
60.62271003135165,-0.001328122844009456,-32.65094901888229,-104.529482007688
62.039571802762,-0.002738865450358791,-32.45205567662593,-105.3372401559203
63.48954818218394,-0.002820468642684389,-32.25030180363045,-105.963417802912
64.97341311756756,-0.002368596418178109,-32.04110877343733,-106.7369847323241
66.4919586454189,-0.0022872383007587,-31.85048982693674,-107.4897606322194
68.04599531356143,-0.001558208514920257,-31.64084370171559,-108.2308067611572
69.63635261377941,-0.002617604709552548,-31.44820336710668,-108.9227173971025
71.26387942457175,-0.003076083884214536,-31.24361680263899,-109.6748021594699
72.92944446425506,-0.001916890461736762,-31.01318053331047,-110.4903179428458
74.63393675465511,-0.001459702883389851,-30.82665378392338,-111.1941190076099
76.37826609563716,-0.002111885417438304,-30.60371512323389,-112.1082726087918
78.16336355072536,-0.001676177878796136,-30.42702878590923,-112.7726505727685
79.9901819440734,-0.002109866014560598,-30.22186542058522,-113.6143759152769
81.85969636904885,-0.001945693822496111,-30.01847994052389,-114.2902638320243
83.7729047087055,-0.002656586941298473,-29.75435844426798,-115.2869171508643
85.7308281684186,-0.002101455300347655,-29.52872360463315,-115.5127059527142
87.73451182097006,-0.002290302468541983,-29.27178371925615,-117.7411051662985
89.78502516437216,-0.001798127081428713,-29.11258682531999,-116.2977277613946
91.88346269272962,-0.002566861373849763,-28.69599203035995,-118.7832482844036
94.03094448044268,-0.002300385491843544,-29.03614957871056,-118.3415193898533
96.22861678006529,-0.002666963594018672,-28.76368476238669,-118.8568430258948
98.47765263413494,-0.002171318183086622,-28.21977636418612,-123.3267479610673
100.7792525013031,-0.001794016999219056,-27.91877068890507,-123.5151320614142
103.1346448970995,-0.002558074278029058,-28.25788067974722,-124.2236563442757
105.5450870496709,-0.001838880859484233,-27.66987724008796,-126.2655998938821
108.0118655708476,-0.002530464326545038,-27.74409236831354,-126.8378658811752
110.5362971428922,-0.002248163012741276,-27.17481707931674,-125.6846799786031
113.1197292213003,-0.002426666522538794,-27.06209102365295,-126.5574751386538
115.7635407540256,-0.002478386199551681,-26.84045184336739,-129.3314232963257
118.4691429175163,-0.002361216239111831,-26.72825448638089,-129.1202537742082
121.2379798699516,-0.002104882515049801,-26.55582910261577,-130.3702410045668
124.0715295220856,-0.002987764212847602,-26.3346697015315,-132.2896604585817
126.9713043261045,-0.002444177980665113,-26.11339162481865,-133.3094110578344
129.9388520829226,-0.002429044366936651,-25.95081414526953,-134.4081649976438
132.9757567683454,-0.002627759480163641,-25.73262540694231,-135.5269817636365
136.0836393785422,-0.003086839533277773,-25.53548937560422,-136.77190938627
139.2641587952778,-0.002220025712315301,-25.31646344579108,-138.0993071559921
142.5190126713684,-0.002685980238360054,-25.11099897603136,-139.3332388764884
145.849938336829,-0.002196375235511784,-24.89743488568081,-140.6734248516185
149.2587137262029,-0.002186047499351567,-24.7040363192542,-141.9792703247673
152.7471583275606,-0.002288551072945712,-24.48635841541737,-143.37488303002
156.317134153682,-0.002650783847124318,-24.29332617552966,-144.7515473157601
159.9705467359343,-0.002673669569432509,-24.08641019408553,-146.2503419945459
163.7093461413807,-0.003115563924630984,-23.86968423280625,-147.594140156661
167.5355280136585,-0.002494978108193798,-23.68201387581774,-149.1246301036805
171.4511346381867,-0.001762084676603585,-23.436856768493,-150.7271708141815
175.4582560322673,-0.002507273486829519,-23.23370197960962,-152.4862382492501
179.5590310606667,-0.00269531085988244,-23.06822301336876,-153.3961538942501
183.7556485772668,-0.002135709547346187,-22.89488116007061,-155.0679547829116
188.0503485934028,-0.001299165244647494,-22.52652331594867,-157.0246020071346
192.4454234735029,-0.002869779091065547,-22.31448008143805,-158.7156131353991
196.9432191586757,-0.002497716978771059,-22.28331646933146,-160.5223535566612
201.5461364188923,-0.001972104319795316,-22.05172497607143,-162.546864570957
206.2566321344371,-0.002584100808489196,-21.76680636205816,-163.4588963887612
211.0772206073048,-0.003126148764509488,-21.62065136032657,-165.4422098730131
216.0104749032507,-0.001811177751087867,-21.30963866887918,-167.2739246440682
221.0590282252044,-0.001894521227762489,-21.20093078905319,-169.4365241703028
226.2255753187844,-0.003061134250907059,-20.90725303479256,-171.2226010914244
231.512873910661,-0.002581123137756602,-20.75852795039475,-173.6768045811361
236.9237461805368,-0.003008078949084811,-20.52234351044675,-175.6870889016942
242.4610802675306,-0.003451479461893457,-20.26846942067204,-177.7438709688057
248.1278318117665,-0.001858413113988935,-20.06306069934393,-179.7968825181617
253.9270255319948,-0.002912246370173441,-19.85200637439635,177.9901687193991
259.8617568400833,-0.003397904249255336,-19.63437635460233,175.6808063361156
265.9351934932425,-0.003695134437863842,-19.41395822100634,173.3569890988261
272.1505772848668,-0.002586275385982753,-19.21105923534907,171.1076802080023
278.5112257748927,-0.00285085255726226,-18.99098076364611,168.7594036676248
285.0205340605997,-0.002027788621146693,-18.7589473367391,166.1540157960646
291.6819765887972,-0.002630753454324566,-18.55357818609591,163.6757927229979
298.4991090103659,-0.002209687484924896,-18.30085955493751,161.1457572707394
305.4755700781428,-0.002224676316578115,-18.08664684669747,158.4680062375277
312.6150835891634,-0.003498106214639242,-17.86575419217085,155.9310756348872
319.9214603722976,-0.002436295294731517,-17.63260723685265,153.1253257631002
327.3986003223405,-0.003061770829542367,-17.4186554178361,150.3685079927658
335.0504944816431,-0.002591675460163641,-17.18372230983539,147.4088385342704
342.8812271703943,-0.001570614510167399,-16.95448310337411,144.5863835623904
350.8949781666919,-0.003057620261862868,-16.71584956186801,141.4733397472917
359.0960249375663,-0.002332840458048629,-16.48386616941382,138.4959630268363
367.4887449221453,-0.00184235744934494,-16.26966717845974,135.1972750210379
376.0776178681832,-0.001945630133712747,-16.04435909087913,132.1552974063209
384.867228223196,-0.003057429091873336,-15.78648583291445,128.6769991388944
393.8622675814846,-0.002643614357923838,-15.56029161192108,125.4953421545431
403.0675371883466,-0.002029667435070197,-15.32050426789926,122.0017894945426
412.4879505028183,-0.003820665420206985,-15.05048199936418,118.4757477160615
422.128535820311,-0.003243956107471444,-14.80513048013492,114.8642679455702
431.9944389565437,-0.003158155194025586,-14.57810909570107,111.2319715108771
442.0909259942043,-0.002577611725226449,-14.3287629947869,107.4876025285276
452.423386093805,-0.002611050143336703,-14.08123717696981,103.5017103856326
462.9973343702322,-0.002353323613802463,-13.7983254605276,99.65716193844696
473.8184148365267,-0.001466072238754869,-13.55375524160148,95.44663007657937
484.8924034164662,-0.002650968506765385,-13.28925239876668,91.33262904863238
496.2252110275543,-0.002374685373558098,-13.02328277253208,87.2081705759386
507.8228867360699,-0.001398931054691182,-12.74875104944215,82.86325953170619
519.6916209858502,-0.0008298420214913979,-12.48708183151028,78.37365284600469
531.8377489025393,-0.002225352998241463,-12.20211993331055,73.87281201251818
544.2677536750621,-0.002294960365019343,-11.92612660707137,69.21663464439376
556.9882700161295,-0.00274096816429713,-11.6306062786507,64.44813082497711
570.0060877036219,-0.002044120461035932,-11.33651505068786,59.54361939489611
583.3281552047413,-0.001009435186191169,-11.04646787089888,54.57555703497985
596.9615833848658,-0.0024090001504633,-10.74000810093769,49.42723406990262
610.913649303087,-0.002322494948031587,-10.43263964637071,44.21921369431546
625.1918000964565,-0.002029910733155376,-10.11880809461056,38.85741469150287
639.803656955013,-0.0007976666070434219,-9.800729237652453,33.35447174259215
654.7570191897154,-0.001223131928438719,-9.468942280150831,27.73732446305384
670.0598683954463,-0.0003209270894909841,-9.132583355782417,21.99026786882901
685.7203727113173,-0.0009669329081545035,-8.786348577392292,16.08817820982055
701.7468911805425,-0.001518369773102551,-8.429236326101343,10.06202535064243
718.147978212211,-0.002393934755600416,-8.063712430540392,3.851761227322669
734.932388147338,-0.001235975386636267,-7.68581773078294,-2.490651619610535
752.1090799316344,-0.0008323197361298805,-7.296497272801465,-9.013990859292448
769.6872218974862,-0.001233255743629432,-6.894363360131923,-15.66385062849358
787.6761966576978,-0.0006447411160070017,-6.479081840766071,-22.52116904251175
806.0856061136105,-0.002478967090912566,-6.041562094750167,-29.53940962304161
824.9252765802704,-0.00213940925703652,-5.5926795687905,-36.733860543593
844.2052640313802,-0.001838133539347498,-5.124195578992927,-44.14663986065041
863.9358594668348,-0.001906731168538022,-4.633152024188448,-51.75550491653173
884.1275944057064,-0.001578162947311636,-4.114885962675269,-59.56948476697892
904.7912465076106,-0.001094346986733866,-3.575169662933321,-67.60255999131066
925.9378453254532,-0.0005592519975698165,-2.999255061504317,-75.87923901248371
947.5786781926288,-0.001085740858583992,-2.393405411809535,-84.41093795762802
969.7252962478161,-0.001780025068641618,-1.742587959307811,-93.20606335289156
992.3895206005806,-0.003768304557933201,-1.046333048650109,-102.3248930205902
1015.58344864108,-0.0023952966206968,-0.2990386578803391,-111.7907846328056
1039.319460497239,-0.002773689069083748,0.5095424180901056,-121.6234491595453
1063.61022564284,-0.0006817514956528414,1.395438182198384,-131.8720452523865
1088.468709660053,-0.003952596485307967,2.36969903730229,-142.7064386938022
1113.908181160027,-0.003536971489097875,3.447848715250055,-154.1838871579019
1139.942218865216,-0.001875920684618875,4.657513282811506,-166.530190869263
1166.584718857242,-0.001166191908977766,6.022117888632437,179.9645122185681
1193.849901994148,0.0002725153127397922,7.581295411054448,164.686115913685
1221.752321501009,-0.0005308821020525102,9.331092135083233,146.7194567720772
1250.306870737944,-0.002148193080655817,11.22360297313666,124.4552623146087
1279.528791149687,0.0003793810692759211,12.89981336514242,95.66568312233312
1309.433680400949,-0.001402392557291949,13.5663418108106,60.87155078478297
1340.037500701919,-8.183960395270003e-05,12.70827132188337,26.22663301263235
1371.356587328349,0.0009508424603296354,10.96448770509901,-2.236121075659071
1403.407657340767,-0.0005986265550081311,9.081281904825744,-25.22158584233331
1436.207818507471,-0.0002421015808838283,7.352535711749505,-44.44547218208766
1469.774578436078,-7.429315478564108e-05,5.826727957690508,-61.82686743508327
1504.125853918483,0.001312044995220338,4.475025388915151,-77.96113349117368
1539.279980494233,-0.002158807732860816,3.286729514406055,-93.5761433343507
1575.255722237413,0.001572262505414113,2.221167516973577,-108.7742128687471
1612.07228177227,-0.001031384793449767,1.259718198891469,-123.9473794203964
1649.749310522918,-0.001310413577930207,0.3842298182981302,-139.0337638333597
1688.306919202598,-0.003687929346892142,-0.4135922359764442,-154.2426387298067
1727.765688548091,-0.0009283372325064901,-1.1588865459563,-169.5940952797956
1768.146680305014,-0.0007176774818384677,-1.848024896938849,174.8302078707533
1809.47144846986,0.0003639030091234059,-2.494049528534921,159.0733446019496
1851.762050794792,-0.0003494287651047108,-3.099081305294641,143.0179709868858
1895.041060561309,0.003013641564536922,-3.669651746511353,126.6658136862761
1939.331578629105,0.0008825466331235228,-4.210995439385385,110.0004828939355
1984.657245766511,0.003774457009339482,-4.723042505455124,93.051231418264
2031.042255269137,0.003140798905569787,-5.210910775468954,75.74676154995365
2078.511365873426,0.001786359122782561,-5.684688550083196,58.06245724654934
2127.089914972023,0.001224316820232316,-6.134663352614506,40.04968429706326
2176.803832138013,0.003421944001888659,-6.569171818053107,21.61283256875603
2227.67965296524,0.003839779309641948,-6.984994899452972,2.804942852368981
2279.744533232104,0.001094477958328002,-7.384739188349863,-16.48204578296023
2333.026263396393,1.595855445188276e-05,-7.77836589911635,-36.12125226741449
2387.553283428873,0.001632075032319965,-8.15620287520019,-56.26186141449362
2443.354697993585,0.002980698736273107,-8.525031795909902,-76.75135385195129
2500.460291982912,0.002312391498867733,-8.884098340586995,-97.79973088356883
2558.900546415748,0.00362436931227056,-9.238759477246942,-119.314189201308
2618.706654707221,0.003755295058777222,-9.57201984999303,-141.2785411896407
2679.910539318677,0.004617929527064041,-9.903430607330215,-163.7489750584169
2742.544868796801,0.002705574449717167,-10.22750135028644,173.2709094842623
2806.64307521097,0.004304386575071571,-10.5503943190016,149.725869004764
2872.239371998157,0.004108358692876225,-10.86463459263887,125.6907678997755
2939.368772224893,0.00641067963542282,-11.16350646991422,101.0076043127894
3008.06710727605,0.006833180748036529,-11.46954950152486,75.82477027016594
3078.371045980412,0.006195928864965069,-11.76289115820577,50.11879422098827
3150.318114183245,0.006430242107961394,-12.04786951039807,23.77078039097115
3223.946714776315,0.005165843356183844,-12.33148879909419,-3.150050108920396
3299.29614819604,0.007660052907539444,-12.61809568816155,-30.74394856260576
3376.406633400727,0.006488472536948805,-12.89726912610419,-58.95467753529611
3455.319329338072,0.008251222486728422,-13.17489244913873,-87.81203255276777
3536.076356914414,0.008060008201849496,-13.44751652435933,-117.3605524851469
3618.720821477435,0.005728033662521399,-13.70913569671884,-147.6188785203462
3703.296835824312,0.007533397125818332,-13.97743623071882,-178.5202948408886
3789.849543747645,0.007083137516848951,-14.23858965002509,149.8452621815319
3878.425144131662,0.009162102825888283,-14.49043100714206,117.3895662828184
3969.070915611608,0.01032499763842892,-14.74498093591069,84.2211146239751
4061.835241809474,0.009591069584547522,-15.00089598985642,50.4273766118983
4156.767637159517,0.01012799820824622,-15.25080121822398,15.77453101447001
4253.918773337384,0.01191297730240404,-15.48632383268488,-19.80416425647897
4353.34050630692,0.0104181683158539,-15.73861965698847,-55.96789598198305
4455.085903999117,0.0114098394666336,-15.99691493191482,-93.22501983205495
4559.209274637962,0.0120972157840862,-16.25588937955559,-131.1691923870468
4665.766195728316,0.01248966282338206,-16.49199184714213,-170.0034079625939
